"1","mirror","8.00","Animal Other","Axel Johnson AB / Axfood  Axstores"
"2","laptop","1103.09","Electronics Other","Other"
"4","water","46.27","Animal Health & Grooming","Advance Auto Parts"
"5","textbook","1.00","Office","Auchan Holding SA (formerly Groupe Auchan SA)"
"6","water","45.34","Baby Other","Agrokor d.d."
"7","desk","44.88","Baby Clothing","Albertsons Companies"
"8","water","44.41","Baby Food","Aldi Einkauf GmbH & Co. oHG"
"9","desk","43.95","Baby Furniture","Amazon.com"
"10","water","43.48","Baby Toys","American Eagle Outfitters"
"11","desk","43.02","Baby Transport","Apple Inc. / Apple Retail Stores"
"12","water","42.55","Carriers & Accessories","Arcs Co."
"13","desk","42.09","Cases & Bags","Army and Air Force Exchange Service (AAFES)"
"14","water","41.62","Clothing","Ascena Retail Group"
"15","desk","41.16","Electronics Other","Associated British Foods plc / Primark"
"16","water","40.69","Cell Phones","Auchan Holding SA (formerly Groupe Auchan SA)"
"17","desk","40.23","Computer Components","AutoZone"
"18","water","0.68","Food & Beverages","H.E. Butt Grocery Company"
"19","desk","39.30","Electronics Accessories","Barnes & Noble"
"25","water","8.00","Alcoholic Beverages","Auchan Holding SA (formerly Groupe Auchan SA)"
"26","water","8.00","Alcoholic Beverages","Auchan Holding SA (formerly Groupe Auchan SA)"
"27","water","8.00","Alcoholic Beverages","Auchan Holding SA (formerly Groupe Auchan SA)"
"28","water","8.00","Alcoholic Beverages","Auchan Holding SA (formerly Groupe Auchan SA)"
"29","water","8.00","Alcoholic Beverages","Auchan Holding SA (formerly Groupe Auchan SA)"
"30","water","8.00","Alcoholic Beverages","Auchan Holding SA (formerly Groupe Auchan SA)"
"34","water","4.90","Animal Food","AutoZone"
"35","water","4.90","Animal Food","AutoZone"
"36","earphone","19.99","Electronics Accessories","Amazon.com"
"37","earphone","19.99","Electronics Accessories","Amazon.com"
"38","desk","70.98","Furniture","Amazon.com"
"41","chicken","3.99","Food & Beverages","H.E. Butt Grocery Company"
"42","noodle","3.90","Food & Beverages","A.S. Watson Group"
"44","CD","10.00","Electronics Other","Amazon.com"
"46","rice","0.88","Food & Beverages","Ascena Retail Group"
